attribute_1,attribute_2,score
skin_color_0-light,skin_color_2-dark,10
skin_color_1-average,skin_color_2-dark,2.5
skin_color_0-light,skin_color_1-average,2.5
iris_color_0-blue,iris_color_3-dark-brown,10
iris_color_0-blue,iris_color_2-brown,10
iris_color_0-blue,iris_color_1-hazel,10
iris_color_1-hazel,iris_color_3-dark-brown,8
iris_color_2-brown,iris_color_3-dark-brown,2.5
iris_color_1-hazel,iris_color_2-brown,5
eyebrow_distribution_0-sparse,eyebrow_distribution_2-dense,7
eyebrow_distribution_0-sparse,eyebrow_distribution_1-average,2
eyebrow_distribution_1-average,eyebrow_distribution_2-dense,5.5
skin_texture_0-average,skin_texture_2-aged,7
skin_texture_0-average,skin_texture_1-middle-aged,3.5
skin_texture_1-middle-aged,skin_texture_2-aged,2
eyebrow_shape_0-angled,eyebrow_shape_2-straight,2.5
eyebrow_shape_1-curved,eyebrow_shape_2-straight,2.5
eyebrow_shape_0-angled,eyebrow_shape_1-curved,0.25
skin_spots_0-0,skin_spots_2-2+,1.5
skin_spots_1-1,skin_spots_2-2+,1.0
skin_spots_0-0,skin_spots_1-1,1.0
eyelid_shape_0-exposed,eyelid_shape_1-covered,1.5